userId,result
56,"[588, 356, 500, 595, 150, 32, 293, 163, 339, 223]"
57,"[1196, 4993, 4878, 1214, 5349, 1732, 1090, 293, 593, 2502]"
58,"[590, 2396, 593, 1580, 1028, 2716, 1101, 2762, 11, 1207]"
59,"[1247, 1214, 296, 923, 1230, 908, 933, 919, 1193, 1206]"
60,"[296, 47, 608, 2571, 110, 260, 4896, 500, 1214, 4993]"
61,"[296, 2959, 858, 47, 589, 1200, 1291, 1222, 608, 1213]"
62,"[3578, 2571, 79132, 50, 4226, 4886, 78499, 356, 1136, 4018]"
63,"[2571, 6377, 44191, 6874, 50, 3052, 8961, 858, 38061, 48394]"
64,"[2571, 111, 1198, 1247, 1394, 1200, 541, 58559, 8874, 48780]"
65,"[4993, 5952, 68954, 33794, 5618, 356, 296, 480, 8961, 47]"
66,"[858, 1732, 4973, 318, 1193, 1208, 1213, 2997, 593, 1221]"
67,"[2959, 4995, 296, 2115, 33794, 1704, 72998, 1197, 7361, 2716]"
68,"[589, 260, 72998, 48, 590, 168, 28, 1, 317, 497]"
69,"[2028, 1196, 110, 356, 1213, 1208, 2716, 858, 457, 1222]"
70,"[4226, 1, 318, 260, 296, 1136, 1617, 1732, 6711, 3578]"
71,"[780, 480, 589, 380, 1073, 318, 356, 457, 593, 858]"
72,"[356, 2959, 2028, 480, 1213, 1, 4226, 1517, 2762, 5952]"
73,"[2959, 318, 593, 858, 7153, 296, 6874, 4896, 1196, 1210]"
74,"[858, 1213, 924, 2959, 260, 593, 1617, 1732, 903, 2947]"
75,"[2571, 318, 480, 1291, 4011, 1197, 4896, 2762, 4886, 4963]"
76,"[1222, 858, 32, 1210, 1968, 1200, 1653, 50, 1274, 293]"
77,"[4306, 4886, 2028, 4993, 8368, 260, 1527, 3793, 588, 7153]"
78,"[3578, 364, 1196, 2858, 2997, 1221, 1265, 47, 2028, 858]"
79,"[260, 296, 32, 608, 1198, 110, 1206, 356, 2804, 2174]"
80,"[5445, 5952, 4993, 2762, 7153, 1196, 3578, 7143, 296, 1704]"
82,"[2571, 541, 2502, 1240, 5952, 1732, 2959, 377, 296, 4963]"
83,"[6377, 2571, 3949, 500, 5989, 318, 527, 296, 1704, 48516]"
84,"[527, 1, 110, 608, 1704, 457, 1198, 2762, 2571, 163]"
85,"[1136, 1270, 356, 1214, 1291, 457, 260, 858, 541, 1610]"
86,"[1198, 1197, 1270, 68954, 60069, 364, 1136, 541, 527, 296]"
87,"[608, 2918, 260, 1210, 1265, 296, 2716, 2858, 2959, 551]"
88,"[260, 1196, 2571, 2959, 778, 1198, 593, 296, 1213, 1136]"
89,"[318, 6377, 2571, 4993, 5952, 364, 457, 7153, 8961, 4995]"
90,"[296, 223, 47, 318, 858, 293, 527, 1090, 1208, 592]"
91,"[260, 32, 4011, 1732, 4963, 2858, 44191, 91529, 293, 50]"
92,"[47, 2918, 4226, 356, 3275, 3897, 48516, 1291, 2959, 1196]"
93,"[589, 1210, 364, 586, 780, 1036, 2571, 260, 457, 377]"
94,"[593, 50, 595, 6, 508, 161, 1, 344, 349, 454]"
95,"[1208, 296, 593, 858, 750, 1213, 2918, 2762, 780, 1136]"
96,"[1213, 541, 2918, 260, 356, 1270, 32, 593, 1222, 1196]"
97,"[356, 2959, 2762, 364, 50, 318, 608, 5349, 6377, 2329]"
98,"[6377, 296, 1213, 4896, 1136, 260, 1961, 2762, 2959, 33794]"
99,"[364, 32, 589, 480, 733, 595, 47, 457, 593, 590]"
100,"[457, 318, 364, 380, 595, 1210, 588, 780, 736, 110]"
101,"[356, 296, 47, 2329, 1732, 2571, 858, 1208, 318, 1196]"
102,"[296, 32, 500, 293, 110, 2959, 50, 367, 2571, 333]"
103,"[47, 7361, 32, 3578, 4973, 4878, 778, 2858, 3147, 88129]"
104,"[4886, 480, 318, 4995, 2571, 1, 1197, 597, 4027, 6365]"
105,"[260, 3578, 134130, 1527, 593, 1682, 1196, 1080, 99114, 1291]"
106,"[2959, 79132, 7153, 296, 68954, 1196, 4963, 58559, 47, 356]"
107,"[457, 356, 110, 349, 480, 364, 500, 292, 454, 588]"
108,"[47, 1214, 260, 1196, 2858, 1291, 2115, 648, 457, 3897]"
109,"[858, 1, 1090, 150, 1213, 2858, 1196, 1208, 1222, 2918]"
110,"[356, 296, 318, 1258, 1213, 1206, 750, 1961, 858, 2329]"
111,"[904, 296, 260, 910, 4027, 1219, 2692, 111, 1270, 750]"
112,"[1214, 2959, 858, 2502, 296, 4226, 7153, 1213, 1265, 1291]"
113,"[750, 908, 924, 111, 1208, 1299, 923, 2987, 1214, 541]"
114,"[4993, 1196, 5952, 7438, 6539, 2959, 58559, 7153, 4886, 593]"
115,"[1198, 1270, 1036, 1291, 1265, 1387, 2, 2115, 780, 1197]"
116,"[1580, 3147, 588, 2, 5952, 2571, 364, 1214, 1136, 4993]"
117,"[318, 1, 595, 364, 208, 344, 2, 339, 317, 858]"
118,"[2028, 260, 1208, 1732, 1136, 2959, 1198, 110, 608, 1222]"
119,"[4022, 2959, 54503, 260, 593, 3949, 1198, 1196, 6874, 76093]"
120,"[296, 2858, 1221, 1291, 1198, 1213, 593, 2762, 3578, 1270]"
121,"[356, 2959, 608, 593, 1206, 778, 1210, 2571, 480, 260]"
122,"[1270, 1198, 1291, 47, 2858, 1240, 3578, 1258, 541, 3996]"
123,"[2571, 858, 68954, 356, 480, 1196, 1136, 58559, 6874, 69122]"
124,"[2858, 2959, 4993, 32, 3996, 2028, 2571, 1732, 2762, 7153]"
125,"[2959, 5989, 8874, 3949, 4963, 4886, 48394, 32, 1704, 50]"
126,"[318, 356, 592, 553, 587, 736, 527, 34, 440, 780]"
127,"[1196, 1198, 1270, 260, 608, 2028, 1097, 34, 953, 1089]"
128,"[1210, 318, 593, 296, 858, 1270, 2858, 2571, 1, 527]"
129,"[6377, 318, 1704, 608, 5816, 858, 8961, 364, 296, 595]"
130,"[480, 356, 318, 780, 1196, 589, 1210, 1214, 260, 380]"
131,"[1208, 32, 527, 1265, 1466, 1222, 2959, 3683, 1252, 904]"
132,"[4226, 4025, 2762, 608, 380, 589, 4022, 50, 1265, 4011]"
133,"[648, 367, 1073, 2959, 1197, 2858, 500, 364, 1198, 2692]"
134,"[318, 457, 356, 480, 34, 527, 587, 597, 296, 500]"
135,"[1196, 541, 1291, 1210, 2571, 2762, 2858, 480, 2291, 8874]"
136,"[457, 480, 595, 350, 589, 500, 539, 356, 474, 318]"
137,"[1617, 1198, 2858, 593, 1089, 50, 750, 2076, 3160, 1283]"
138,"[3793, 2762, 1, 1136, 1265, 296, 593, 1580, 589, 858]"
139,"[2571, 318, 2762, 527, 8368, 2959, 48516, 1265, 1196, 1]"
140,"[356, 589, 593, 2762, 4306, 34, 165, 899, 1917, 1136]"
141,"[1136, 7153, 7361, 4878, 4226, 1291, 33794, 296, 79132, 745]"
142,"[318, 32, 260, 223, 10, 6, 110, 608, 597, 36]"
143,"[1, 2028, 1265, 1270, 2858, 7153, 6377, 588, 2571, 480]"
144,"[33794, 50, 1704, 47, 318, 1080, 3052, 1198, 8961, 1200]"
145,"[364, 110, 356, 457, 597, 480, 527, 34, 253, 500]"
146,"[296, 356, 6874, 2959, 1193, 1206, 1732, 1213, 260, 3897]"
147,"[589, 47, 1, 1265, 367, 480, 1136, 1196, 2762, 364]"
148,"[50872, 4896, 58559, 4306, 5218, 2959, 53125, 78499, 1136, 4963]"
149,"[858, 608, 1136, 296, 47, 593, 380, 1036, 110, 592]"
150,"[318, 1, 47, 1198, 4306, 4993, 457, 364, 296, 1200]"
151,"[32, 260, 367, 1210, 364, 1527, 2502, 1196, 1580, 858]"
152,"[778, 1258, 2762, 4226, 858, 356, 1247, 7153, 1089, 223]"
153,"[1136, 110, 6874, 32587, 1270, 5952, 7153, 3147, 4993, 1265]"
154,"[2571, 58559, 89745, 33794, 2959, 4993, 7153, 50872, 80463, 5952]"
155,"[2028, 7153, 47, 1210, 1196, 4993, 5445, 480, 527, 5952]"
156,"[2571, 2959, 1214, 32, 903, 1258, 29, 1200, 1240, 1653]"
157,"[1196, 2571, 2329, 356, 32, 318, 480, 296, 2762, 4993]"
158,"[2571, 296, 858, 1270, 1221, 2762, 2918, 1198, 593, 1036]"
159,"[4995, 364, 593, 11, 588, 8636, 8961, 527, 7153, 7361]"
160,"[260, 1136, 1732, 1214, 912, 1206, 1199, 356, 110, 32]"
161,"[5952, 4993, 1198, 1136, 4226, 1196, 3897, 356, 1291, 3793]"
162,"[457, 1, 377, 480, 593, 380, 736, 11, 1136, 2028]"
163,"[260, 527, 32, 2858, 1265, 3253, 296, 858, 2571, 3994]"
164,"[2571, 260, 2028, 457, 588, 858, 2268, 318, 380, 1]"
165,"[4993, 1200, 7153, 589, 6539, 3578, 2115, 260, 47, 1527]"
166,"[1136, 54503, 2502, 8641, 6539, 500, 2011, 1923, 586, 1073]"
167,"[2959, 32, 2115, 367, 589, 1270, 3578, 356, 1517, 2987]"
168,"[593, 1198, 1089, 912, 858, 50, 318, 1214, 541, 527]"
169,"[1225, 1097, 912, 2858, 608, 750, 924, 296, 1204, 1213]"
170,"[356, 380, 165, 480, 589, 316, 62, 11, 349, 593]"
171,"[2959, 5952, 7153, 1136, 1200, 1206, 778, 2571, 2858, 4226]"
172,"[2028, 2115, 1196, 260, 1291, 2571, 2716, 480, 1198, 1]"
173,"[457, 590, 380, 208, 1, 318, 34, 344, 364, 292]"
174,"[356, 110, 480, 364, 318, 208, 593, 500, 367, 95]"
175,"[1136, 1197, 1265, 912, 1, 1580, 2918, 588, 2571, 3793]"
176,"[34, 480, 527, 736, 339, 595, 356, 364, 500, 32]"
177,"[4993, 588, 5952, 110, 2762, 2028, 59315, 1198, 5349, 3034]"
178,"[1270, 260, 1214, 2959, 47, 48516, 1210, 32, 1196, 2324]"
179,"[590, 165, 587, 539, 597, 500, 527, 5, 588, 474]"
180,"[296, 2028, 260, 7153, 110, 5952, 1704, 8961, 47, 364]"
181,"[364, 500, 480, 150, 292, 318, 208, 349, 95, 440]"
182,"[551, 1219, 48394, 110, 5952, 2987, 1222, 594, 1201, 1089]"
183,"[1240, 2571, 1210, 1270, 593, 2000, 2762, 1291, 1580, 110]"
184,"[356, 112852, 593, 260, 1210, 8961, 4878, 1196, 4226, 7153]"
185,"[6874, 2571, 4306, 6377, 260, 1196, 6539, 1036, 32587, 4993]"
186,"[6539, 318, 356, 858, 1270, 5952, 6377, 7153, 59315, 1080]"
187,"[858, 904, 1247, 1219, 1233, 923, 1213, 908, 1208, 3683]"
188,"[260, 608, 1, 2028, 2762, 1136, 1270, 953, 500, 1198]"
190,"[593, 260, 4306, 608, 2858, 1197, 2918, 4973, 296, 5816]"
191,"[593, 356, 590, 353, 648, 923, 1136, 858, 1213, 457]"
192,"[457, 364, 208, 500, 292, 165, 434, 588, 11, 318]"
193,"[318, 1258, 750, 1214, 2571, 541, 1732, 111, 1221, 1136]"
195,"[1200, 593, 858, 2959, 1580, 1210, 2194, 1197, 50, 1136]"
196,"[1196, 1210, 318, 858, 5445, 589, 480, 356, 586, 4993]"
197,"[2959, 1198, 1196, 7153, 47, 589, 1136, 260, 1214, 367]"
198,"[593, 296, 7153, 7361, 5952, 58559, 1291, 1, 6539, 527]"
199,"[260, 1200, 924, 1252, 110, 1206, 2916, 1221, 2571, 1288]"
200,"[1206, 608, 2959, 4011, 7361, 1136, 4878, 1732, 72998, 2329]"
201,"[1214, 1387, 1291, 2571, 527, 457, 1265, 2000, 2947, 377]"
202,"[1193, 1206, 1732, 2502, 527, 3471, 1257, 597, 380, 904]"
203,"[1196, 6377, 260, 1291, 1704, 6539, 47, 2028, 8961, 2959]"
204,"[1196, 260, 1208, 2858, 4993, 593, 1210, 1221, 3897, 1]"
205,"[296, 5952, 260, 1196, 4973, 1198, 2959, 2571, 4993, 1732]"
206,"[296, 858, 25, 260, 1208, 648, 1210, 1265, 736, 6]"
207,"[1089, 260, 1208, 1210, 2571, 2959, 1221, 1291, 1073, 2115]"
208,"[1196, 296, 2959, 2329, 4993, 356, 47, 480, 2762, 1198]"
209,"[2959, 5952, 4226, 58559, 296, 1196, 51662, 260, 50, 47]"
210,"[356, 6377, 457, 2959, 4886, 3578, 1291, 2028, 367, 2115]"
211,"[260, 4993, 589, 1, 6874, 4886, 33493, 50, 1270, 1036]"
212,"[296, 60069, 356, 7361, 48780, 4878, 2502, 8464, 4963, 1208]"
213,"[1196, 260, 4226, 2571, 7153, 296, 318, 1210, 6711, 7361]"
214,"[260, 356, 2571, 318, 1196, 1210, 1393, 589, 2762, 32]"
215,"[2571, 1270, 3578, 1210, 2716, 1198, 47, 4226, 480, 4995]"
216,"[904, 858, 608, 593, 296, 527, 318, 1219, 2762, 2571]"
217,"[588, 595, 11, 260, 597, 364, 539, 377, 590, 150]"
218,"[593, 296, 608, 2959, 858, 1265, 4226, 1387, 47, 1732]"
219,"[296, 1210, 356, 48516, 110, 1200, 527, 3793, 68954, 1278]"
220,"[4993, 593, 457, 1270, 1097, 1617, 1954, 2987, 480, 5418]"
221,"[1196, 1136, 223, 608, 924, 1968, 1248, 4993, 1732, 1228]"
222,"[480, 1291, 1196, 1210, 7153, 1, 589, 260, 16, 104]"
223,"[356, 364, 318, 588, 1682, 2502, 5989, 1968, 2959, 6539]"
224,"[2571, 318, 919, 480, 1097, 1307, 1, 296, 2762, 1196]"
225,"[318, 858, 1210, 589, 356, 364, 480, 2115, 1036, 2959]"
226,"[2571, 5952, 4993, 32587, 8961, 318, 44191, 1, 2706, 1682]"
227,"[7361, 4226, 296, 44191, 4878, 4995, 4993, 2571, 2858, 3147]"
228,"[2959, 4226, 296, 47, 2762, 2858, 7153, 356, 1196, 589]"
229,"[161, 292, 349, 380, 480, 597, 539, 316, 266, 317]"
230,"[4226, 296, 2329, 47, 3578, 5418, 2028, 2571, 1036, 2858]"
231,"[4993, 457, 2028, 3578, 5418, 47, 1089, 1265, 4306, 7153]"
232,"[356, 50, 318, 858, 1221, 593, 32587, 6539, 1213, 1732]"
233,"[1198, 527, 1221, 5618, 1265, 2542, 32, 1197, 260, 1196]"
234,"[597, 457, 318, 356, 1704, 593, 780, 150, 2502, 380]"
235,"[165, 364, 1, 21, 47, 17, 1036, 111, 733, 1265]"
236,"[1265, 296, 1732, 1136, 1198, 260, 858, 541, 2918, 608]"
237,"[296, 5952, 4226, 2959, 4993, 260, 47, 79132, 4878, 593]"
238,"[2858, 47, 1089, 1206, 2329, 2028, 2571, 3578, 296, 1136]"
239,"[260, 2571, 1136, 780, 3578, 44191, 527, 6874, 1073, 8874]"
240,"[10, 316, 500, 648, 364, 150, 47, 593, 597, 736]"
241,"[541, 1089, 5952, 356, 1265, 778, 1136, 1198, 4993, 5669]"
242,"[50, 527, 364, 110, 288, 551, 34, 590, 1, 223]"
243,"[480, 457, 590, 593, 253, 318, 780, 110, 296, 329]"
244,"[260, 1097, 47, 1213, 1210, 2918, 1208, 2762, 1089, 1961]"
245,"[1, 1265, 260, 296, 356, 480, 1196, 589, 1221, 4306]"
246,"[2028, 3578, 318, 3793, 1291, 47, 2762, 1198, 1197, 377]"
247,"[356, 2858, 1206, 2502, 3052, 4963, 551, 8360, 344, 6874]"
248,"[7153, 4993, 5952, 68954, 1704, 2762, 318, 589, 356, 6934]"
249,"[48516, 1198, 3897, 59315, 1136, 2858, 35836, 32, 2916, 4963]"
250,"[1214, 1200, 2571, 296, 1089, 293, 1090, 356, 480, 1208]"
251,"[356, 260, 1221, 296, 1213, 778, 1136, 1214, 1196, 1193]"
252,"[2959, 296, 1136, 7153, 54286, 1270, 4993, 318, 47, 356]"
253,"[296, 2858, 2959, 593, 750, 2571, 7361, 4306, 3996, 6874]"
254,"[1136, 1221, 1198, 5952, 3578, 1193, 608, 593, 1732, 293]"
255,"[260, 1196, 47, 3578, 7153, 2028, 51255, 480, 296, 5952]"
256,"[2028, 3578, 6377, 1961, 47, 5418, 7153, 588, 4993, 5952]"
257,"[2858, 364, 4306, 593, 2571, 3578, 1196, 588, 1136, 2987]"
258,"[4993, 5952, 3578, 47, 1136, 1221, 7153, 296, 48516, 58559]"
259,"[1198, 2571, 356, 2028, 296, 1196, 2959, 1259, 1265, 1]"
260,"[1136, 1704, 2571, 79132, 1, 2858, 318, 4306, 356, 500]"
261,"[1, 4973, 1732, 480, 4993, 608, 1208, 1206, 541, 2959]"
262,"[150, 356, 1, 597, 34, 588, 47, 344, 1073, 590]"
263,"[480, 356, 595, 364, 79132, 1214, 2762, 78499, 5418, 58559]"
264,"[1270, 7153, 2028, 858, 589, 260, 4993, 296, 356, 588]"
265,"[1200, 1036, 2571, 3114, 2762, 457, 364, 1610, 648, 1387]"
266,"[778, 318, 2858, 858, 1222, 593, 1136, 1214, 1291, 2329]"
267,"[2028, 589, 3114, 356, 588, 1610, 318, 457, 1580, 2916]"
268,"[541, 296, 1617, 1198, 924, 608, 1219, 923, 1265, 1732]"
269,"[260, 318, 1210, 380, 150, 377, 736, 589, 1270, 1196]"
270,"[296, 223, 318, 356, 32, 47, 1197, 50, 587, 380]"
271,"[1196, 593, 2028, 296, 1653, 2571, 480, 608, 1198, 1136]"
272,"[79132, 4306, 260, 356, 4963, 1704, 4995, 111759, 1196, 59369]"
273,"[1136, 1197, 2571, 1265, 260, 1704, 4226, 4306, 1198, 1617]"
274,"[1196, 5349, 5989, 1732, 2716, 4878, 58559, 367, 778, 1291]"
275,"[50, 47, 1682, 6874, 551, 2396, 1732, 2502, 1196, 380]"
276,"[589, 593, 260, 592, 50, 2571, 780, 165, 367, 1265]"
277,"[608, 1210, 786, 2762, 1198, 1291, 1200, 648, 1036, 2167]"
278,"[296, 593, 608, 2858, 1198, 1270, 318, 1230, 1265, 356]"
279,"[72998, 2762, 1270, 296, 1704, 7153, 3147, 1721, 58559, 1200]"
280,"[593, 1784, 7361, 2291, 4886, 589, 5445, 480, 296, 551]"
281,"[1196, 6874, 260, 356, 1136, 48780, 296, 480, 6711, 527]"
282,"[4896, 6378, 5816, 79132, 63082, 3948, 5349, 8644, 4995, 8665]"
283,"[296, 733, 1196, 2959, 589, 2115, 480, 1270, 1732, 590]"
284,"[47, 293, 593, 6, 589, 1196, 364, 163, 1089, 1]"
285,"[924, 1208, 750, 1221, 1198, 1617, 923, 260, 908, 608]"
286,"[1196, 260, 2858, 1210, 2716, 5418, 480, 1136, 1270, 58559]"
287,"[2571, 296, 260, 4226, 1196, 3996, 2858, 1214, 1210, 541]"
288,"[50, 858, 1221, 5349, 3114, 7153, 1262, 924, 1374, 1089]"
289,"[296, 318, 7361, 2291, 2571, 7153, 293, 7438, 4993, 32]"
290,"[1206, 2571, 3996, 1265, 858, 4226, 356, 914, 1247, 2692]"
291,"[4886, 40815, 76093, 364, 79132, 6377, 356, 2571, 1197, 4306]"
292,"[648, 1580, 296, 1197, 1527, 1291, 1721, 2396, 593, 5952]"
293,"[1206, 4993, 1136, 1196, 7153, 47, 3578, 1210, 2762, 4226]"
294,"[318, 480, 589, 1265, 2959, 32, 1200, 1208, 2571, 1213]"
295,"[2329, 356, 2571, 1206, 5952, 7153, 1089, 1732, 1222, 260]"
296,"[4993, 58559, 2959, 260, 318, 2329, 7153, 1196, 1732, 480]"
297,"[2571, 110, 480, 32, 541, 2028, 296, 356, 2997, 260]"
298,"[1210, 4226, 55820, 593, 5418, 5989, 8636, 4262, 56174, 4878]"
299,"[2571, 364, 4963, 2959, 2355, 3114, 480, 1210, 3052, 6377]"
300,"[6874, 2959, 4963, 1136, 296, 1198, 6377, 1240, 4306, 3000]"
301,"[2959, 5952, 2762, 7438, 1, 58559, 318, 7153, 1196, 1265]"
302,"[592, 1208, 440, 1617, 593, 2858, 1, 527, 1356, 2762]"
303,"[2571, 1291, 296, 2028, 1265, 1198, 4993, 1073, 780, 1036]"
304,"[1196, 608, 3578, 592, 110, 1222, 1234, 3793, 2706, 2985]"
305,"[296, 50, 110, 1291, 1036, 858, 1704, 2194, 6874, 1208]"
306,"[81845, 4963, 4993, 5952, 7153, 58559, 89745, 356, 1198, 1704]"
307,"[260, 8874, 1210, 2028, 1954, 6377, 480, 4816, 1682, 33794]"
308,"[3147, 1270, 588, 589, 1196, 1704, 4995, 6539, 1097, 1961]"
309,"[2959, 6377, 1210, 1214, 3578, 6874, 924, 5989, 1196, 7361]"
310,"[318, 1196, 260, 1221, 480, 2959, 1, 47, 1210, 1732]"
311,"[858, 1198, 2858, 296, 50, 1213, 2571, 593, 1225, 1221]"
312,"[858, 1, 908, 1136, 2858, 2918, 1221, 1288, 1610, 903]"
313,"[318, 2502, 1206, 2858, 6377, 1923, 4027, 1225, 1358, 1]"
314,"[110, 34, 1136, 377, 454, 1148, 593, 161, 1197, 597]"
315,"[296, 858, 1, 1136, 608, 2918, 1198, 1089, 2716, 480]"
316,"[2959, 4993, 356, 1136, 4995, 47, 3578, 32587, 4226, 318]"
317,"[1196, 4226, 1198, 1221, 1210, 1206, 4993, 7153, 33794, 4262]"
318,"[2959, 2329, 858, 1198, 6539, 58559, 4226, 3578, 1258, 1682]"
319,"[1196, 296, 5952, 593, 4993, 47, 260, 1198, 4226, 858]"
320,"[1196, 4993, 2571, 4306, 1, 296, 356, 4886, 1214, 4226]"
321,"[110, 590, 318, 34, 593, 349, 595, 539, 527, 50]"
322,"[1214, 260, 1270, 4226, 527, 648, 4878, 4886, 589, 1200]"
323,"[1704, 593, 47, 4995, 39, 2, 608, 1210, 1682, 2324]"
324,"[3578, 1265, 2571, 3996, 2858, 1617, 2762, 1653, 32, 260]"
325,"[1221, 1617, 2858, 1206, 608, 1208, 923, 2571, 1136, 260]"
326,"[356, 4027, 2692, 56367, 1136, 46578, 46976, 7147, 1704, 1080]"
327,"[364, 480, 1, 588, 2502, 2762, 5445, 2858, 1196, 4993]"
328,"[4993, 2716, 6377, 608, 40815, 8636, 2571, 5418, 593, 2291]"
329,"[296, 2571, 2997, 1198, 4027, 47, 2858, 912, 2028, 480]"
330,"[1219, 260, 2571, 1036, 4973, 31658, 4993, 1247, 8874, 5816]"
331,"[296, 260, 1, 1198, 1270, 4993, 58559, 1210, 4226, 48516]"
332,"[260, 2571, 1136, 858, 2291, 1197, 235, 293, 1387, 2194]"
333,"[296, 318, 2959, 1213, 47, 593, 1265, 3793, 4886, 608]"
334,"[588, 5816, 2, 3751, 2571, 68954, 2355, 2011, 5952, 4995]"
335,"[1200, 2959, 1089, 4993, 5349, 858, 5952, 2716, 4226, 47]"
336,"[1196, 1210, 1193, 356, 32, 1270, 1089, 260, 480, 1198]"
337,"[480, 356, 648, 588, 377, 457, 367, 380, 595, 339]"
338,"[47, 296, 1136, 8961, 2571, 608, 8368, 1196, 260, 4306]"
339,"[50, 912, 1089, 260, 2571, 1196, 2329, 1210, 1221, 1258]"
340,"[588, 364, 32, 6, 380, 500, 377, 597, 21, 47]"
341,"[356, 51255, 260, 1210, 1196, 1206, 1968, 8961, 47, 2028]"
342,"[260, 3578, 4011, 2683, 3717, 2694, 1196, 50, 1213, 1221]"
343,"[47, 2959, 2571, 4306, 7153, 318, 778, 5952, 356, 7361]"
344,"[1196, 1198, 6539, 7153, 480, 4963, 4993, 4886, 2115, 589]"
345,"[296, 2571, 260, 4995, 858, 480, 4963, 2762, 2959, 608]"
346,"[356, 2571, 1206, 1247, 4993, 260, 593, 924, 1214, 541]"
